workload,i,j,intersects,dec_vert,dec_bytes,total_vert,cert_level_r,cert_level_s,eta_star,band_b,band_w,mbr_gap,size_v,margin,abs_margin,log_abs_margin,phi_pair,family
tiger_27137_d0.1,0,0,1,18,112,244,2,2,0.0004925520233997812,222,0.005842276655643039,0.0,244,0.0016922882154298295,0.0016922882154298295,-2.7715256695798325,0.07377049180327869,tiger
tiger_27137_d0.1,1,1,1,11,65,106,1,2,0.00031696719209598975,67,0.0016680294930342882,0.0,106,0.00046415852949668684,0.00046415852949668684,-3.3333336634944235,0.10377358490566038,tiger
tiger_27137_d0.1,2,2,1,10,68,104,1,1,0.0005511158296998633,72,0.0016962956791162632,0.0,104,0.0010974678221106913,0.0010974678221106913,-2.959608204070193,0.09615384615384616,tiger
tiger_27137_d0.1,3,3,1,12,76,508,2,2,0.0009338241028976733,465,0.0065452425470715085,0.0,508,0.0008390358048489743,0.0008390358048489743,-3.0762195052609056,0.023622047244094488,tiger
tiger_27137_d0.1,4,4,1,10,66,394,1,1,0.0020316513089764054,369,0.00932114296801401,0.0,394,0.003518325282931585,0.003518325282931585,-2.453664010675635,0.025380710659898477,tiger
tiger_27137_d0.1,5,5,1,10,68,666,1,1,0.0024909463753126737,634,0.013371976747268472,0.0,666,0.004291330735479395,0.004291330735479395,-2.3674080127353987,0.015015015015015015,tiger
tiger_27137_d0.1,6,6,1,10,68,244,1,1,0.003807152456310115,219,0.009818220089135996,0.0,244,0.004455615668783216,0.004455615668783216,-2.3510922773699865,0.040983606557377046,tiger
tiger_27137_d0.1,7,7,1,14,90,1156,1,1,0.007552624864063476,1134,0.017686625238213134,0.0,1156,0.008063613081739094,0.008063613081739094,-2.093470319199982,0.012110726643598616,tiger
tiger_27137_d0.1,8,8,1,10,66,382,1,1,0.0014848080100815402,354,0.0059985398135853265,0.0,382,0.0016942388678130008,0.0016942388678130008,-2.771025359002956,0.02617801047120419,tiger
tiger_27137_d0.1,9,9,1,9,62,534,0,1,0.002391276709479844,507,0.0032537804582067303,0.0,534,0.0019290916306661928,0.0019290916306661928,-2.7146471429202172,0.016853932584269662,tiger
tiger_27137_d0.1,10,10,1,10,68,428,1,1,0.0020694933247445684,370,0.006410155155744882,0.0,428,0.0034653799370455932,0.0034653799370455932,-2.460249143173124,0.02336448598130841,tiger
tiger_27137_d0.1,11,11,1,12,71,120,1,2,0.0005196834726519699,95,0.002284501039612611,0.0,120,0.0008560402912730766,0.0008560402912730766,-3.0675057933835506,0.1,tiger
tiger_27137_d0.1,12,12,1,10,68,148,1,1,0.0007234554689367584,122,0.004292573354059795,0.0,148,0.0014103521290474551,0.0014103521290474551,-2.8506724412143036,0.06756756756756757,tiger
tiger_27137_d0.1,13,13,1,10,68,446,1,1,0.0035723133470852305,426,0.011563576789672904,0.0,446,0.0013338684790065458,0.0013338684790065458,-2.8748869899271714,0.02242152466367713,tiger
tiger_27137_d0.1,14,14,1,10,68,204,1,1,0.0009031971534779853,177,0.006145437657314692,0.0,204,0.0007493719384759958,0.0007493719384759958,-3.1253025732636996,0.049019607843137254,tiger
tiger_27137_d0.1,15,15,1,20,106,194,2,2,0.00031154759615202127,166,0.006003396122197984,0.0,194,0.0004394016050672697,0.0004394016050672697,-3.3571383600125086,0.10309278350515463,tiger
tiger_27137_d0.1,16,16,1,10,64,328,1,1,0.0013767109635637318,298,0.004197060295854272,0.0,328,0.0011599771540421703,0.0011599771540421703,-2.935550563822066,0.03048780487804878,tiger
tiger_27137_d0.1,17,183,1,586,2295,586,3,4,0.0,7,0.00084253862100063,0.0,586,0.0,0.0,-12.0,1.0,tiger
tiger_27137_d0.1,17,17,1,8,48,110,0,0,0.00032810622833438617,95,0.00032810622833438617,0.0,110,0.00037043574219097763,0.00037043574219097763,-3.4312871150741318,0.07272727272727272,tiger
tiger_27137_d0.1,18,18,1,10,64,112,1,1,0.0004863304877543715,85,0.0013809677897247362,0.0,112,0.0007426517685452651,0.0007426517685452651,-3.129214779801243,0.08928571428571429,tiger
tiger_27137_d0.1,19,19,1,10,64,176,1,1,0.00048789330166074585,144,0.005912889118110267,0.0,176,0.0009211451951263816,0.0009211451951263816,-3.035671908449785,0.056818181818181816,tiger
