workload,n_geoms_r,n_geoms_s,n_candidates,n_intersect,selectivity,gap_mean,gap_frac_overlap,gap_p50,phi_prog,phi_brink,decvert_prog,decvert_naive,decvert_brink,decbytes_prog,decbytes_naive,ratio_naive_over_prog,ratio_brink_over_prog,correct,family,separation,seed
syn_sep2.5_s3,70,70,77,77,1.0,0.0,1.0,0.0,0.5823768001707802,0.6120334335024714,35465,60897,37271,242022,391287,1.7171013675454674,1.0509234456506416,1,synthetic,2.5,3
nc2_combs,1,1,1,1,1.0,0.0,1.0,0.0,0.9938650306748467,0.9938650306748467,324,326,324,1468,1478,1.0061728395061729,1.0,1,adversarial,-1,0
tiger_22051_d0.1,200,200,356,356,1.0,0.0,1.0,0.0,0.2948529147659926,0.8751019821742856,114926,389774,341092,506479,1573473,3.391521500791814,2.9679271879296243,1,tiger,0.1,
tiger_22051_d0.25,200,200,333,333,1.0,0.0,1.0,0.0,0.22257751794202169,0.9001676732004807,90001,404358,363990,412132,1632735,4.492816746480595,4.044288396795591,1,tiger,0.25,
tiger_22051_d0.5,200,200,312,312,1.0,0.0,1.0,0.0,0.18645195504117298,0.9174404501775079,75943,407306,373679,356020,1644886,5.36331195765245,4.920519336871075,1,tiger,0.5,
tiger_22051_d1.0,200,200,313,313,1.0,0.0,1.0,0.0,0.17737128978902483,0.9006609113178446,76245,429861,387159,360016,1736839,5.637891009246508,5.077828054298642,1,tiger,1.0,
tiger_27137_d0.1,200,200,203,203,1.0,0.0,1.0,0.0,0.05964564762848024,0.6026662893615683,7588,127218,76670,38035,503389,16.76568265682657,10.104111755403268,1,tiger,0.1,
tiger_27137_d0.25,200,200,192,192,1.0,0.0,1.0,0.0,0.09215951866015101,0.6606898306479978,12315,133627,88286,57394,528728,10.850751116524563,7.168980917580186,1,tiger,0.25,
tiger_27137_d0.5,200,200,136,136,1.0,0.0,1.0,0.0,0.06744054405281075,0.663474953958016,8459,125429,83219,41969,495983,14.827875635417898,9.83792410450408,1,tiger,0.5,
tiger_27137_d1.0,200,200,76,76,1.0,0.0,1.0,0.0,0.06330175305141593,0.7145240482694236,7323,115684,82659,36457,457132,15.797350812508535,11.287587054485867,1,tiger,1.0,
tiger_53033_d0.1,200,200,215,215,1.0,0.0,1.0,0.0,0.18152844031578655,0.7240354841409323,26029,143388,103818,119984,583490,5.508778669945062,3.9885512313189135,1,tiger,0.1,
tiger_53033_d0.25,200,200,198,198,1.0,0.0,1.0,0.0,0.18026092274240674,0.7393966161581844,26529,147170,108817,123304,598573,5.547514041237891,4.101813110181311,1,tiger,0.25,
tiger_53033_d0.5,200,200,137,137,1.0,0.0,1.0,0.0,0.1538624562890749,0.7116592742851088,20328,132118,94023,96798,538497,6.49931129476584,4.625295159386068,1,tiger,0.5,
tiger_53033_d1.0,200,200,78,78,1.0,0.0,1.0,0.0,0.1624130104763193,0.7784040522463213,21611,133062,103576,103371,541994,6.157142196103836,4.79274443570404,1,tiger,1.0,
tiger_22051x22103,200,200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1,tiger,,
tiger_27031x27137,200,200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1,tiger,,
