workload,i,j,intersects,dec_vert,dec_bytes,total_vert,cert_level_r,cert_level_s,eta_star,band_b,band_w,mbr_gap,size_v,margin,abs_margin,log_abs_margin,phi_pair,family
tiger_06075_d0.1,13,13,1,9,58,100,1,0,0.00029742442135340547,78,0.00034313724805243724,0.0,100,0.00043656676596347607,0.00043656676596347607,-3.3599493274306096,0.09,tiger
tiger_06075_d0.1,14,14,1,9,57,168,1,0,0.00042802775449146636,131,0.00042802775449146636,0.0,168,0.0003359056048247021,0.0003359056048247021,-3.4737827482916503,0.05357142857142857,tiger
tiger_06075_d0.1,15,15,1,19,92,120,2,1,0.00019018145855495092,93,0.0003436625992938811,0.0,120,0.00015855501952839992,0.00015855501952839992,-3.7998200018030244,0.15833333333333333,tiger
tiger_06075_d0.1,16,16,1,28,160,1326,0,0,0.014447992894468055,1319,0.014447992894468055,0.0,1326,0.03458018937958496,0.03458018937958496,-1.461172632614502,0.021116138763197588,tiger
tiger_06075_d0.1,17,17,1,92,361,170,2,1,0.00012650218785081584,116,0.00028521613745622785,0.0,170,0.00011776612920543727,0.00011776612920543727,-3.928979595626303,0.5411764705882353,tiger
tiger_06075_d0.1,18,18,1,20,118,386,0,0,0.0006837706912664401,349,0.0006587171829322351,0.0,386,0.00044213017100412964,0.00044213017100412964,-3.3544498468046364,0.05181347150259067,tiger
tiger_06075_d0.1,19,19,1,12,74,158,1,1,0.00030031923453457385,130,0.0009437837284151166,0.0,158,0.0004193134420637493,0.0004193134420637493,-3.377461214021858,0.0759493670886076,tiger
tiger_06075_d0.1,20,20,1,10,54,164,1,1,0.00022992083411645353,127,0.000845601561015492,0.0,164,0.0001585936177077462,0.0001585936177077462,-3.7997142912666355,0.06097560975609756,tiger
tiger_06075_d0.1,21,21,1,104,536,550,0,0,0.019484509027152958,544,0.01774308499406956,0.0,550,0.03788320321010407,0.03788320321010407,-1.4215533063822943,0.1890909090909091,tiger
tiger_06075_d0.25,0,1,1,2860,11499,2916,6,3,8.473059771811872e-05,86,0.005025435017272579,0.0,2916,7.79609942968559e-05,7.79609942968559e-05,-4.108122625055017,0.9807956104252401,tiger
tiger_06075_d0.25,0,8,1,362,1845,2901,4,3,0.00029205613083394525,65,0.01217720701221692,0.0,2901,0.0003413763298625846,0.0003413763298625846,-3.4667665937430194,0.12478455704929335,tiger
tiger_06075_d0.25,0,6,1,525,2546,3550,4,5,0.00029205613083394525,62,0.011541781512017697,0.0,3550,0.0002815740990010902,0.0002815740990010902,-3.550407295353484,0.14788732394366197,tiger
tiger_06075_d0.25,0,0,1,36,225,5702,0,0,0.013814410862136972,5685,0.013813833495455433,0.0,5702,0.02759007299418581,0.02759007299418581,-1.5592471505043424,0.006313574184496668,tiger
tiger_06075_d0.25,1,1,1,15,81,130,2,3,0.0002302302301304907,86,0.0018283159910553446,0.0,130,0.00032468863763740827,0.00032468863763740827,-3.4885329077503666,0.11538461538461539,tiger
tiger_06075_d0.25,2,2,1,10,66,796,1,1,0.0008167360090014724,745,0.003128511626957685,0.0,796,0.0005619329002932508,0.0005619329002932508,-3.2503155391245513,0.01256281407035176,tiger
tiger_06075_d0.25,4,4,1,177,687,314,3,4,9.334028726733927e-05,217,0.0008640217807546094,0.0,314,7.101646069131264e-05,7.101646069131264e-05,-4.14864096968885,0.5636942675159236,tiger
tiger_06075_d0.25,6,16,1,100,523,1362,4,3,0.0002943828488193047,151,0.011803983010572726,0.0,1362,0.0003112709830777119,0.0003112709830777119,-3.5068613613035344,0.07342143906020558,tiger
