workload,i,j,intersects,dec_vert,dec_bytes,total_vert,cert_level_r,cert_level_s,eta_star,band_b,band_w,mbr_gap,size_v,margin,abs_margin,log_abs_margin,phi_pair,family
syn_sep0.0_s1,0,30,1,677,4562,709,2,3,0.00289289917944206,3,0.01947799732364179,0.0,709,0.002314519764859545,0.002314519764859545,-2.635539106016588,0.9548660084626234,synthetic
syn_sep0.0_s1,0,55,1,470,3348,834,0,0,0.01989065165114614,86,0.019880849967162554,0.0,834,0.03204045560965296,0.03204045560965296,-1.4943013169390598,0.5635491606714629,synthetic
syn_sep0.0_s1,0,21,1,375,2632,668,0,0,0.019934055784895904,60,0.019902529519232045,0.0,668,0.08629079276072985,0.08629079276072985,-1.0640355410877462,0.561377245508982,synthetic
syn_sep0.0_s1,0,50,1,531,3481,804,1,1,0.00785764956043956,61,0.01944597279929917,0.0,804,0.010311361408998973,0.010311361408998973,-1.986683990990309,0.6604477611940298,synthetic
syn_sep0.0_s1,0,69,1,351,2484,522,0,0,0.019871053113237357,35,0.019467246979113565,0.0,522,0.2900850552343066,0.2900850552343066,-0.5374746448478895,0.6724137931034483,synthetic
syn_sep0.0_s1,0,64,1,410,2894,687,0,0,0.019871053113237357,54,0.01975530194277874,0.0,687,0.1832673042731501,0.1832673042731501,-0.7369150082504268,0.5967976710334789,synthetic
syn_sep0.0_s1,0,19,1,339,2303,650,0,0,0.019871053113237357,40,0.019781437754961946,0.0,650,0.28583777594959,0.28583777594959,-0.5438803759552945,0.5215384615384615,synthetic
syn_sep0.0_s1,0,52,1,298,2049,469,0,0,0.019871053113237357,75,0.019663822865752138,0.0,469,0.2266454090936836,0.2266454090936836,-0.6446530735390629,0.6353944562899787,synthetic
syn_sep0.0_s1,1,30,1,450,3215,766,0,0,0.01995899753865416,88,0.01952105216694891,0.0,766,0.026114271498519085,0.026114271498519085,-1.5831220850156495,0.587467362924282,synthetic
syn_sep0.0_s1,1,46,1,351,2424,508,0,0,0.019963208100575537,57,0.01996110270859373,0.0,508,0.08568564788017587,0.08568564788017587,-1.0670919151595222,0.6909448818897638,synthetic
syn_sep0.0_s1,1,59,1,364,2508,569,0,0,0.027035669867112228,71,0.023229396641616832,0.0,569,0.0462384281332523,0.0462384281332523,-1.334996938087175,0.6397188049209139,synthetic
syn_sep0.0_s1,1,21,1,397,2782,725,0,0,0.01995899753865416,97,0.019946522763282126,0.0,725,0.07567729702053985,0.07567729702053985,-1.1210343880966664,0.5475862068965517,synthetic
syn_sep0.0_s1,1,64,1,432,3044,744,0,0,0.01995899753865416,107,0.019798969749868882,0.0,744,0.2852659578141083,0.2852659578141083,-0.544750051739905,0.5806451612903226,synthetic
syn_sep0.0_s1,1,52,1,320,2199,526,0,0,0.01995899753865416,61,0.019707288464306066,0.0,526,0.06409622551606085,0.06409622551606085,-1.1931675443560197,0.6083650190114068,synthetic
syn_sep0.0_s1,1,32,1,411,2837,814,0,0,0.01995899753865416,106,0.01982650247829722,0.0,814,0.12252980453890007,0.12252980453890007,-0.9117582592764027,0.504914004914005,synthetic
